rank,name,boardlife_link,players,players_min,players_max,genre,rating,shopping_link,google_link
141,티칼,https://boardlife.co.kr/game/116,2~4명,2,4,전략게임,7.667,https://search.shopping.naver.com/search/all?query=티칼 보드게임,https://www.google.com/search?q=티칼 보드게임
142,에버델,https://boardlife.co.kr/game/9608,1~4명,1,4,전략게임,7.663,https://search.shopping.naver.com/search/all?query=에버델 보드게임,https://www.google.com/search?q=에버델 보드게임
143,갱스터,https://boardlife.co.kr/game/19315,3~6명,3,6,가족게임,7.656,https://search.shopping.naver.com/search/all?query=갱스터 보드게임,https://www.google.com/search?q=갱스터 보드게임
144,네비가도르,https://boardlife.co.kr/game/396,2~5명,2,5,전략게임,7.655,https://search.shopping.naver.com/search/all?query=네비가도르 보드게임,https://www.google.com/search?q=네비가도르 보드게임
145,7 원더스,https://boardlife.co.kr/game/94,2~7명,2,7,전략게임,7.653,https://search.shopping.naver.com/search/all?query=7 원더스 보드게임,https://www.google.com/search?q=7 원더스 보드게임
146,멘 네페르,https://boardlife.co.kr/game/20042,1~4명,1,4,전략게임,7.652,https://search.shopping.naver.com/search/all?query=멘 네페르 보드게임,https://www.google.com/search?q=멘 네페르 보드게임
147,에이언즈 엔드: 영원한 전쟁,https://boardlife.co.kr/game/9384,1~4명,1,4,전략게임,7.651,https://search.shopping.naver.com/search/all?query=에이언즈 엔드: 영원한 전쟁 보드게임,https://www.google.com/search?q=에이언즈 엔드: 영원한 전쟁 보드게임
148,블랙 프라이데이,https://boardlife.co.kr/game/2142,2~5명,2,5,전략게임,7.650,https://search.shopping.naver.com/search/all?query=블랙 프라이데이 보드게임,https://www.google.com/search?q=블랙 프라이데이 보드게임
149,워터게이트,https://boardlife.co.kr/game/11586,2명,2,2,전략게임,7.647,https://search.shopping.naver.com/search/all?query=워터게이트 보드게임,https://www.google.com/search?q=워터게이트 보드게임
150,파워 그리드 디럭스: 유럽/북 아메리카,https://boardlife.co.kr/game/4281,2~6명,2,6,전략게임,7.647,https://search.shopping.naver.com/search/all?query=파워 그리드 디럭스: 유럽/북 아메리카 보드게임,https://www.google.com/search?q=파워 그리드 디럭스: 유럽/북 아메리카 보드게임
151,네이션스,https://boardlife.co.kr/game/2542,1~5명,1,5,전략게임,7.646,https://search.shopping.naver.com/search/all?query=네이션스 보드게임,https://www.google.com/search?q=네이션스 보드게임
152,반지의 제왕: 대결,https://boardlife.co.kr/game/876,2명,2,2,전략게임,7.642,https://search.shopping.naver.com/search/all?query=반지의 제왕: 대결 보드게임,https://www.google.com/search?q=반지의 제왕: 대결 보드게임
153,상트 페테르부르크 (2판),https://boardlife.co.kr/game/4438,2~5명,2,5,전략게임,7.641,https://search.shopping.naver.com/search/all?query=상트 페테르부르크 (2판) 보드게임,https://www.google.com/search?q=상트 페테르부르크 (2판) 보드게임
154,반지의 제왕: 원정대의 운명,https://boardlife.co.kr/game/21006,1~5명,1,5,테마게임,7.639,https://search.shopping.naver.com/search/all?query=반지의 제왕: 원정대의 운명 보드게임,https://www.google.com/search?q=반지의 제왕: 원정대의 운명 보드게임
155,슬리핑 갓즈,https://boardlife.co.kr/game/10833,1~4명,1,4,테마게임,7.636,https://search.shopping.naver.com/search/all?query=슬리핑 갓즈 보드게임,https://www.google.com/search?q=슬리핑 갓즈 보드게임
156,카르디아,https://boardlife.co.kr/game/21189,2명,2,2,전략게임,7.635,https://search.shopping.naver.com/search/all?query=카르디아 보드게임,https://www.google.com/search?q=카르디아 보드게임
157,엘더베일의 거처,https://boardlife.co.kr/game/12243,1~5명,1,5,전략게임,7.633,https://search.shopping.naver.com/search/all?query=엘더베일의 거처 보드게임,https://www.google.com/search?q=엘더베일의 거처 보드게임
